"temperature","albopictus.R0.median","aegypti.R0.median"
5,0,0
5.1,0,0
5.2,0,0
5.3,0,0
5.4,0,0
5.5,0,0
5.6,0,0
5.7,0,0
5.8,0,0
5.9,0,0
6,0,0
6.1,0,0
6.2,0,0
6.3,0,0
6.4,0,0
6.5,0,0
6.6,0,0
6.7,0,0
6.8,0,0
6.9,0,0
7,0,0
7.1,0,0
7.2,0,0
7.3,0,0
7.4,0,0
7.5,0,0
7.6,0,0
7.7,0,0
7.8,0,0
7.9,0,0
8,0,0
8.1,0,0
8.2,0,0
8.3,0,0
8.4,0,0
8.5,0,0
8.6,0,0
8.7,0,0
8.8,0,0
8.9,0,0
9,0,0
9.1,0,0
9.2,0,0
9.3,0,0
9.4,0,0
9.5,0,0
9.6,0,0
9.7,0,0
9.8,0,0
9.9,0,0
10,0,0
10.1,3.44004597819907e-50,0
10.2,9.44651132065604e-25,0
10.3,3.07349633871556e-19,0
10.4,9.27085432102918e-17,0
10.5,2.55533253185189e-15,0
10.6,2.32058585260243e-14,0
10.7,1.14657082609468e-13,0
10.8,3.90747127468021e-13,0
10.9,1.04298557109791e-12,0
11,2.38964064922465e-11,0
11.1,6.96764602216292e-11,0
11.2,1.56345186443683e-10,0
11.3,3.06034912237344e-10,0
11.4,5.4819706289444e-10,0
11.5,9.22806311627605e-10,0
11.6,1.48713213701912e-09,0
11.7,2.33199877459287e-09,0
11.8,3.61020022706525e-09,0
11.9,5.52507901544863e-09,0
12,8.32502167361952e-09,0
12.1,1.23385888197539e-08,0
12.2,1.86598223110987e-08,0
12.3,2.79866298966034e-08,1.51201612857204e-12
12.4,4.16499678043511e-08,8.41530599207126e-12
12.5,6.13458768534161e-08,1.08099809368843e-10
12.6,9.88001155587503e-08,2.68641228613784e-10
12.7,1.51872123182131e-07,5.3406453141046e-10
12.8,2.41887247528051e-07,9.49623061511166e-10
12.9,3.73454556338814e-07,1.57142411282176e-09
13,5.59538166499617e-07,2.46647376100573e-09
13.1,8.27187442827659e-07,3.71838415322434e-09
13.2,1.19594597203915e-06,5.4312363226906e-09
13.3,1.71608771974233e-06,8.09204512166148e-09
13.4,2.4742616831997e-06,1.2471606675009e-08
13.5,3.48946264850306e-06,2.09110146066491e-08
13.6,4.93642171195735e-06,3.44557052391305e-08
13.7,6.93312797665605e-06,5.33254531672474e-08
13.8,9.5945407418593e-06,7.89366871769576e-08
13.9,1.30175046037703e-05,1.234107495526e-07
14,1.76209757945206e-05,1.96665142502197e-07
14.1,2.36045752106068e-05,3.08978481310004e-07
14.2,3.12513916241081e-05,4.76278221535709e-07
14.3,4.14066997392607e-05,6.93645916161169e-07
14.4,5.42191117593478e-05,9.85893836155544e-07
14.5,7.03505600470858e-05,1.38529262710625e-06
14.6,9.0809593060396e-05,1.98986568731565e-06
14.7,0.000116644594661409,2.7955319691691e-06
14.8,0.000148437690528426,3.82002866585812e-06
14.9,0.000188073822277745,5.18906964886711e-06
15,0.000235945251756054,6.92241237255517e-06
15.1,0.000293997074641952,9.19720337302384e-06
15.2,0.000364564195878162,1.22416266214791e-05
15.3,0.00045077627213291,1.64592792321139e-05
15.4,0.000553257215451957,2.17341876181239e-05
15.5,0.000675377540295553,2.84926469948604e-05
15.6,0.000820919431537315,3.7031325589594e-05
15.7,0.000990437443160012,4.73722546625482e-05
15.8,0.00119083949661851,6.03665974341856e-05
15.9,0.00142566445773476,7.65407102095088e-05
16,0.00170257037523627,9.6934449215439e-05
16.1,0.00202153048692981,0.000121600896514413
16.2,0.00239247338372037,0.00015259677568783
16.3,0.00282242935949116,0.000190672047691862
16.4,0.00331941279432757,0.000235500441624345
16.5,0.00388521938878938,0.000290760031402237
16.6,0.00453022029715496,0.000355819630373509
16.7,0.00527014367112143,0.000432021700717645
16.8,0.00610459141472419,0.000524860348649292
16.9,0.00703925531923862,0.000634560260028347
17,0.00810150190454386,0.000761872656087351
17.1,0.00928946222101714,0.000911825000281908
17.2,0.0106060746910067,0.00108947772470285
17.3,0.0120710961971341,0.00129424270664695
17.4,0.0136907594185298,0.0015320767737304
17.5,0.0154675773378329,0.00180565627628059
17.6,0.017439952802291,0.00211894205601084
17.7,0.019615774067344,0.00248101167924418
17.8,0.0219908147466038,0.00289753662598148
17.9,0.0245600942442543,0.00336447168746264
18,0.0273576839075519,0.00390091744996174
18.1,0.030369518945506,0.00450759820706588
18.2,0.0336399264298767,0.00518953567362216
18.3,0.0371535173167972,0.00595359177627082
18.4,0.0409200637391894,0.006802520794372
18.5,0.0449420927615637,0.00775962110389434
18.6,0.0492507399210953,0.00882146645448308
18.7,0.0538740907178797,0.00999775309160718
18.8,0.0587971757184496,0.0112931243573384
18.9,0.0640118091136881,0.0127140224247871
19,0.0695353148915023,0.0142926094528393
19.1,0.075379687334533,0.0160073162281783
19.2,0.081542751906453,0.0178683583208151
19.3,0.0880484689773065,0.0199118004143446
19.4,0.0948874652181127,0.0221231463820929
19.5,0.102089346360442,0.024504535777142
19.6,0.109653946666081,0.027081575046591
19.7,0.117576597555995,0.0298601143365461
19.8,0.125876489974015,0.0328405002697055
19.9,0.134575976453978,0.036051599805971
20,0.143635994821848,0.0394914750779092
20.1,0.153062210847323,0.0431653789845958
20.2,0.162870945299981,0.0470670323712628
20.3,0.173061880671865,0.0511911178244798
20.4,0.183623105053021,0.0555779114079322
20.5,0.194580620423893,0.0602079778536943
20.6,0.205906937821103,0.0651189425003111
20.7,0.217610244311511,0.070307501641137
20.8,0.229705023431098,0.0757642917583727
20.9,0.242172004419735,0.081499425346293
21,0.254987553756089,0.0875331148580973
21.1,0.26818427130519,0.0938356106346774
