"cases","week","year","id","country","pop"
4,1,2022,"EC13","ECU",1594995.37838731
1,2,2019,"EC13","ECU",1594995.37838731
2,2,2021,"EC13","ECU",1594995.37838731
2,2,2022,"EC13","ECU",1594995.37838731
2,2,2023,"EC13","ECU",1594995.37838731
1,3,2018,"EC13","ECU",1594995.37838731
4,3,2019,"EC13","ECU",1594995.37838731
4,3,2021,"EC13","ECU",1594995.37838731
2,3,2022,"EC13","ECU",1594995.37838731
1,4,2016,"EC13","ECU",1594995.37838731
5,4,2019,"EC13","ECU",1594995.37838731
2,4,2022,"EC13","ECU",1594995.37838731
3,4,2023,"EC13","ECU",1594995.37838731
9,5,2021,"EC13","ECU",1594995.37838731
1,5,2022,"EC13","ECU",1594995.37838731
1,5,2023,"EC13","ECU",1594995.37838731
7,6,2017,"EC13","ECU",1594995.37838731
1,6,2018,"EC13","ECU",1594995.37838731
13,6,2021,"EC13","ECU",1594995.37838731
6,6,2023,"EC13","ECU",1594995.37838731
1,7,2020,"EC13","ECU",1594995.37838731
9,7,2021,"EC13","ECU",1594995.37838731
4,7,2022,"EC13","ECU",1594995.37838731
17,7,2023,"EC13","ECU",1594995.37838731
6,8,2017,"EC13","ECU",1594995.37838731
1,8,2019,"EC13","ECU",1594995.37838731
14,8,2021,"EC13","ECU",1594995.37838731
5,8,2022,"EC13","ECU",1594995.37838731
16,8,2023,"EC13","ECU",1594995.37838731
3,9,2017,"EC13","ECU",1594995.37838731
1,9,2020,"EC13","ECU",1594995.37838731
14,9,2021,"EC13","ECU",1594995.37838731
17,9,2022,"EC13","ECU",1594995.37838731
22,9,2023,"EC13","ECU",1594995.37838731
2,10,2016,"EC13","ECU",1594995.37838731
3,10,2020,"EC13","ECU",1594995.37838731
30,10,2022,"EC13","ECU",1594995.37838731
8,10,2023,"EC13","ECU",1594995.37838731
2,11,2016,"EC13","ECU",1594995.37838731
3,11,2020,"EC13","ECU",1594995.37838731
1,11,2022,"EC13","ECU",1594995.37838731
14,11,2023,"EC13","ECU",1594995.37838731
1,12,2015,"EC13","ECU",1594995.37838731
6,12,2020,"EC13","ECU",1594995.37838731
13,12,2021,"EC13","ECU",1594995.37838731
7,12,2022,"EC13","ECU",1594995.37838731
18,12,2023,"EC13","ECU",1594995.37838731
8,13,2022,"EC13","ECU",1594995.37838731
4,13,2023,"EC13","ECU",1594995.37838731
1,14,2016,"EC13","ECU",1594995.37838731
1,14,2017,"EC13","ECU",1594995.37838731
2,14,2020,"EC13","ECU",1594995.37838731
23,14,2021,"EC13","ECU",1594995.37838731
9,14,2022,"EC13","ECU",1594995.37838731
4,14,2023,"EC13","ECU",1594995.37838731
1,15,2019,"EC13","ECU",1594995.37838731
2,15,2022,"EC13","ECU",1594995.37838731
6,15,2023,"EC13","ECU",1594995.37838731
1,16,2015,"EC13","ECU",1594995.37838731
1,16,2017,"EC13","ECU",1594995.37838731
15,16,2021,"EC13","ECU",1594995.37838731
2,16,2022,"EC13","ECU",1594995.37838731
13,16,2023,"EC13","ECU",1594995.37838731
2,17,2016,"EC13","ECU",1594995.37838731
1,17,2019,"EC13","ECU",1594995.37838731
11,17,2021,"EC13","ECU",1594995.37838731
8,17,2022,"EC13","ECU",1594995.37838731
10,17,2023,"EC13","ECU",1594995.37838731
2,18,2016,"EC13","ECU",1594995.37838731
12,18,2021,"EC13","ECU",1594995.37838731
4,18,2022,"EC13","ECU",1594995.37838731
9,18,2023,"EC13","ECU",1594995.37838731
5,19,2015,"EC13","ECU",1594995.37838731
3,19,2016,"EC13","ECU",1594995.37838731
10,19,2021,"EC13","ECU",1594995.37838731
5,19,2022,"EC13","ECU",1594995.37838731
13,19,2023,"EC13","ECU",1594995.37838731
22,20,2015,"EC13","ECU",1594995.37838731
4,20,2016,"EC13","ECU",1594995.37838731
9,20,2021,"EC13","ECU",1594995.37838731
7,20,2022,"EC13","ECU",1594995.37838731
15,20,2023,"EC13","ECU",1594995.37838731
5,21,2015,"EC13","ECU",1594995.37838731
2,21,2016,"EC13","ECU",1594995.37838731
5,21,2021,"EC13","ECU",1594995.37838731
6,21,2022,"EC13","ECU",1594995.37838731
8,21,2023,"EC13","ECU",1594995.37838731
1,22,2015,"EC13","ECU",1594995.37838731
1,22,2020,"EC13","ECU",1594995.37838731
10,22,2021,"EC13","ECU",1594995.37838731
6,22,2022,"EC13","ECU",1594995.37838731
6,22,2023,"EC13","ECU",1594995.37838731
2,23,2015,"EC13","ECU",1594995.37838731
1,23,2019,"EC13","ECU",1594995.37838731
1,23,2020,"EC13","ECU",1594995.37838731
2,23,2021,"EC13","ECU",1594995.37838731
4,23,2022,"EC13","ECU",1594995.37838731
11,23,2023,"EC13","ECU",1594995.37838731
1,24,2015,"EC13","ECU",1594995.37838731
2,24,2016,"EC13","ECU",1594995.37838731
1,24,2017,"EC13","ECU",1594995.37838731
1,24,2021,"EC13","ECU",1594995.37838731
4,24,2022,"EC13","ECU",1594995.37838731
2,25,2015,"EC13","ECU",1594995.37838731
1,25,2017,"EC13","ECU",1594995.37838731
3,25,2021,"EC13","ECU",1594995.37838731
9,25,2022,"EC13","ECU",1594995.37838731
13,25,2023,"EC13","ECU",1594995.37838731
1,26,2017,"EC13","ECU",1594995.37838731
3,26,2021,"EC13","ECU",1594995.37838731
5,26,2022,"EC13","ECU",1594995.37838731
13,26,2023,"EC13","ECU",1594995.37838731
1,27,2015,"EC13","ECU",1594995.37838731
2,27,2016,"EC13","ECU",1594995.37838731
3,27,2017,"EC13","ECU",1594995.37838731
2,27,2021,"EC13","ECU",1594995.37838731
2,27,2022,"EC13","ECU",1594995.37838731
18,27,2023,"EC13","ECU",1594995.37838731
1,28,2016,"EC13","ECU",1594995.37838731
