"id","week","cases","year","ADM1_PCODE","pop"
11,1,786,2023,"BR11",1824926
11,2,868,2023,"BR11",1824926
11,3,829,2023,"BR11",1824926
11,4,805,2023,"BR11",1824926
11,5,679,2023,"BR11",1824926
11,6,769,2023,"BR11",1824926
11,7,605,2023,"BR11",1824926
11,8,585,2023,"BR11",1824926
11,9,620,2023,"BR11",1824926
11,10,704,2023,"BR11",1824926
11,11,475,2023,"BR11",1824926
11,12,382,2023,"BR11",1824926
11,13,357,2023,"BR11",1824926
11,14,272,2023,"BR11",1824926
11,15,307,2023,"BR11",1824926
11,16,231,2023,"BR11",1824926
11,17,156,2023,"BR11",1824926
11,18,186,2023,"BR11",1824926
11,19,135,2023,"BR11",1824926
11,20,122,2023,"BR11",1824926
11,21,116,2023,"BR11",1824926
11,22,74,2023,"BR11",1824926
11,23,75,2023,"BR11",1824926
11,24,75,2023,"BR11",1824926
11,25,82,2023,"BR11",1824926
11,26,39,2023,"BR11",1824926
11,27,13,2023,"BR11",1824926
12,1,134,2023,"BR12",972441
12,2,123,2023,"BR12",972441
12,3,155,2023,"BR12",972441
12,4,177,2023,"BR12",972441
12,5,196,2023,"BR12",972441
12,6,206,2023,"BR12",972441
12,7,211,2023,"BR12",972441
12,8,199,2023,"BR12",972441
12,9,263,2023,"BR12",972441
12,10,249,2023,"BR12",972441
12,11,314,2023,"BR12",972441
12,12,264,2023,"BR12",972441
12,13,216,2023,"BR12",972441
12,14,209,2023,"BR12",972441
12,15,237,2023,"BR12",972441
12,16,221,2023,"BR12",972441
12,17,142,2023,"BR12",972441
12,18,178,2023,"BR12",972441
12,19,201,2023,"BR12",972441
12,20,119,2023,"BR12",972441
12,21,78,2023,"BR12",972441
12,22,62,2023,"BR12",972441
12,23,69,2023,"BR12",972441
12,24,58,2023,"BR12",972441
12,25,57,2023,"BR12",972441
12,26,29,2023,"BR12",972441
12,27,23,2023,"BR12",972441
13,1,334,2023,"BR13",4378216
13,2,310,2023,"BR13",4378216
13,3,305,2023,"BR13",4378216
13,4,287,2023,"BR13",4378216
13,5,255,2023,"BR13",4378216
13,6,267,2023,"BR13",4378216
13,7,178,2023,"BR13",4378216
13,8,152,2023,"BR13",4378216
13,9,171,2023,"BR13",4378216
13,10,152,2023,"BR13",4378216
13,11,125,2023,"BR13",4378216
13,12,118,2023,"BR13",4378216
13,13,126,2023,"BR13",4378216
13,14,131,2023,"BR13",4378216
13,15,118,2023,"BR13",4378216
13,16,173,2023,"BR13",4378216
13,17,147,2023,"BR13",4378216
13,18,152,2023,"BR13",4378216
13,19,133,2023,"BR13",4378216
13,20,127,2023,"BR13",4378216
13,21,101,2023,"BR13",4378216
13,22,95,2023,"BR13",4378216
13,23,111,2023,"BR13",4378216
13,24,88,2023,"BR13",4378216
13,25,107,2023,"BR13",4378216
13,26,132,2023,"BR13",4378216
13,27,102,2023,"BR13",4378216
14,1,1,2023,"BR14",633903
14,2,1,2023,"BR14",633903
14,3,4,2023,"BR14",633903
14,4,2,2023,"BR14",633903
14,5,3,2023,"BR14",633903
14,6,4,2023,"BR14",633903
14,7,3,2023,"BR14",633903
14,8,1,2023,"BR14",633903
14,9,1,2023,"BR14",633903
14,10,1,2023,"BR14",633903
14,11,0,2023,"BR14",633903
14,12,1,2023,"BR14",633903
14,13,2,2023,"BR14",633903
14,14,2,2023,"BR14",633903
14,15,1,2023,"BR14",633903
14,16,1,2023,"BR14",633903
14,17,2,2023,"BR14",633903
14,18,2,2023,"BR14",633903
14,19,4,2023,"BR14",633903
14,20,3,2023,"BR14",633903
14,21,2,2023,"BR14",633903
14,22,5,2023,"BR14",633903
14,23,7,2023,"BR14",633903
14,24,16,2023,"BR14",633903
14,25,16,2023,"BR14",633903
14,26,6,2023,"BR14",633903
14,27,4,2023,"BR14",633903
15,1,153,2023,"BR15",9673107
15,2,198,2023,"BR15",9673107
15,3,219,2023,"BR15",9673107
15,4,200,2023,"BR15",9673107
15,5,273,2023,"BR15",9673107
15,6,249,2023,"BR15",9673107
15,7,200,2023,"BR15",9673107
15,8,184,2023,"BR15",9673107
15,9,223,2023,"BR15",9673107
15,10,293,2023,"BR15",9673107
15,11,334,2023,"BR15",9673107
15,12,340,2023,"BR15",9673107
15,13,238,2023,"BR15",9673107
15,14,178,2023,"BR15",9673107
15,15,184,2023,"BR15",9673107
15,16,160,2023,"BR15",9673107
15,17,136,2023,"BR15",9673107
15,18,163,2023,"BR15",9673107
15,19,134,2023,"BR15",9673107
15,20,141,2023,"BR15",9673107
15,21,148,2023,"BR15",9673107
15,22,141,2023,"BR15",9673107
15,23,116,2023,"BR15",9673107
15,24,121,2023,"BR15",9673107
15,25,122,2023,"BR15",9673107
15,26,99,2023,"BR15",9673107
15,27,28,2023,"BR15",9673107
16,1,12,2023,"BR16",949195
16,2,13,2023,"BR16",949195
16,3,18,2023,"BR16",949195
16,4,28,2023,"BR16",949195
16,5,27,2023,"BR16",949195
16,6,12,2023,"BR16",949195
16,7,11,2023,"BR16",949195
16,8,20,2023,"BR16",949195
16,9,21,2023,"BR16",949195
16,10,19,2023,"BR16",949195
16,11,19,2023,"BR16",949195
16,12,15,2023,"BR16",949195
16,13,13,2023,"BR16",949195
16,14,8,2023,"BR16",949195
16,15,12,2023,"BR16",949195
16,16,18,2023,"BR16",949195
16,17,21,2023,"BR16",949195
16,18,16,2023,"BR16",949195
16,19,11,2023,"BR16",949195
16,20,10,2023,"BR16",949195
16,21,5,2023,"BR16",949195
16,22,24,2023,"BR16",949195
16,23,16,2023,"BR16",949195
16,24,9,2023,"BR16",949195
16,25,16,2023,"BR16",949195
16,26,10,2023,"BR16",949195
16,27,0,2023,"BR16",949195
17,1,72,2023,"BR17",1709386
17,2,101,2023,"BR17",1709386
17,3,200,2023,"BR17",1709386
17,4,260,2023,"BR17",1709386
17,5,162,2023,"BR17",1709386
17,6,193,2023,"BR17",1709386
17,7,179,2023,"BR17",1709386
17,8,218,2023,"BR17",1709386
17,9,197,2023,"BR17",1709386
17,10,176,2023,"BR17",1709386
17,11,168,2023,"BR17",1709386
17,12,249,2023,"BR17",1709386
17,13,289,2023,"BR17",1709386
17,14,252,2023,"BR17",1709386
17,15,294,2023,"BR17",1709386
17,16,241,2023,"BR17",1709386
17,17,200,2023,"BR17",1709386
17,18,162,2023,"BR17",1709386
17,19,160,2023,"BR17",1709386
17,20,208,2023,"BR17",1709386
17,21,159,2023,"BR17",1709386
17,22,143,2023,"BR17",1709386
17,23,97,2023,"BR17",1709386
17,24,97,2023,"BR17",1709386
17,25,73,2023,"BR17",1709386
17,26,61,2023,"BR17",1709386
17,27,21,2023,"BR17",1709386
21,1,92,2023,"BR21",7760948
21,2,79,2023,"BR21",7760948
21,3,98,2023,"BR21",7760948
21,4,114,2023,"BR21",7760948
21,5,152,2023,"BR21",7760948
21,6,175,2023,"BR21",7760948
21,7,147,2023,"BR21",7760948
21,8,201,2023,"BR21",7760948
21,9,304,2023,"BR21",7760948
21,10,338,2023,"BR21",7760948
21,11,308,2023,"BR21",7760948
21,12,265,2023,"BR21",7760948
21,13,213,2023,"BR21",7760948
21,14,190,2023,"BR21",7760948
21,15,211,2023,"BR21",7760948
21,16,196,2023,"BR21",7760948
21,17,153,2023,"BR21",7760948
21,18,155,2023,"BR21",7760948
21,19,123,2023,"BR21",7760948
21,20,119,2023,"BR21",7760948
21,21,110,2023,"BR21",7760948
21,22,100,2023,"BR21",7760948
21,23,84,2023,"BR21",7760948
