"id","Provincia","week","year","cases","ADM2_PCODE_ignore","pop","ADM1_PCODE"
"24 DE MAYO","MANABI",1,2022,4,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",2,2019,1,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",2,2021,2,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",2,2022,2,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",2,2023,2,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",3,2018,1,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",3,2019,4,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",3,2021,4,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",3,2022,2,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",4,2016,1,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",4,2019,5,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",4,2022,2,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",4,2023,3,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",5,2021,9,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",5,2022,1,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",5,2023,1,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",6,2017,7,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",6,2018,1,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",6,2021,13,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",6,2023,6,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",7,2020,1,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",7,2021,9,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",7,2022,4,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",7,2023,17,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",8,2017,6,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",8,2019,1,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",8,2021,14,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",8,2022,5,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",8,2023,16,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",9,2017,3,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",9,2020,1,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",9,2021,14,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",9,2022,17,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",9,2023,22,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",10,2016,2,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",10,2020,3,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",10,2022,30,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",10,2023,8,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",11,2016,2,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",11,2020,3,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",11,2022,1,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",11,2023,14,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",12,2015,1,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",12,2020,6,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",12,2021,13,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",12,2022,7,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",12,2023,18,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",13,2022,8,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",13,2023,4,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",14,2016,1,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",14,2017,1,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",14,2020,2,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",14,2021,23,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",14,2022,9,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",14,2023,4,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",15,2019,1,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",15,2022,2,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",15,2023,6,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",16,2015,1,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",16,2017,1,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",16,2021,15,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",16,2022,2,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",16,2023,13,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",17,2016,2,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",17,2019,1,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",17,2021,11,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",17,2022,8,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",17,2023,10,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",18,2016,2,"EC1316",33855,"EC13"
"24 DE MAYO","MANABI",18,2021,12,"EC1316",33855,"EC13"
