"id","year","week","cases"
"AMAZONAS",2010,1,1
"AMAZONAS",2010,2,2
"AMAZONAS",2010,3,1
"AMAZONAS",2010,4,5
"AMAZONAS",2010,6,6
"AMAZONAS",2010,7,3
"AMAZONAS",2010,8,6
"AMAZONAS",2010,9,14
"AMAZONAS",2010,10,4
"AMAZONAS",2010,11,10
"AMAZONAS",2010,12,11
"AMAZONAS",2010,13,26
"AMAZONAS",2010,14,27
"AMAZONAS",2010,15,19
"AMAZONAS",2010,16,9
"AMAZONAS",2010,17,16
"AMAZONAS",2010,18,9
"AMAZONAS",2010,19,4
"AMAZONAS",2010,20,9
"AMAZONAS",2010,21,4
"AMAZONAS",2010,23,1
"AMAZONAS",2010,24,7
"AMAZONAS",2010,25,6
"AMAZONAS",2010,26,7
"AMAZONAS",2010,27,11
"AMAZONAS",2010,28,11
"AMAZONAS",2010,29,6
"AMAZONAS",2010,30,7
"AMAZONAS",2010,31,6
"AMAZONAS",2010,32,5
"AMAZONAS",2010,33,2
"AMAZONAS",2010,34,8
"AMAZONAS",2010,35,1
"AMAZONAS",2010,37,2
"AMAZONAS",2010,38,1
"AMAZONAS",2010,40,1
"AMAZONAS",2010,41,1
"AMAZONAS",2010,43,1
"AMAZONAS",2010,45,2
"AMAZONAS",2010,47,1
"AMAZONAS",2011,2,1
"AMAZONAS",2011,3,2
"AMAZONAS",2011,4,3
"AMAZONAS",2011,5,4
"AMAZONAS",2011,6,5
"AMAZONAS",2011,7,1
"AMAZONAS",2011,8,3
"AMAZONAS",2011,9,9
"AMAZONAS",2011,10,8
"AMAZONAS",2011,11,3
"AMAZONAS",2011,12,3
"AMAZONAS",2011,13,4
"AMAZONAS",2011,14,4
"AMAZONAS",2011,16,6
"AMAZONAS",2011,17,9
"AMAZONAS",2011,18,9
"AMAZONAS",2011,19,10
"AMAZONAS",2011,20,24
"AMAZONAS",2011,21,7
"AMAZONAS",2011,22,9
"AMAZONAS",2011,23,5
"AMAZONAS",2011,24,5
"AMAZONAS",2011,25,3
"AMAZONAS",2011,26,3
"AMAZONAS",2011,27,3
"AMAZONAS",2011,28,6
"AMAZONAS",2011,29,2
"AMAZONAS",2011,30,2
"AMAZONAS",2011,32,4
"AMAZONAS",2011,33,2
"AMAZONAS",2011,34,8
"AMAZONAS",2011,35,5
"AMAZONAS",2011,36,9
"AMAZONAS",2011,37,15
"AMAZONAS",2011,38,17
"AMAZONAS",2011,39,12
"AMAZONAS",2011,40,4
"AMAZONAS",2011,41,6
"AMAZONAS",2011,42,6
"AMAZONAS",2011,43,11
"AMAZONAS",2011,44,8
"AMAZONAS",2011,45,1
"AMAZONAS",2011,46,1
"AMAZONAS",2011,47,9
"AMAZONAS",2011,48,6
"AMAZONAS",2011,49,11
"AMAZONAS",2011,50,9
"AMAZONAS",2011,51,3
"AMAZONAS",2011,52,5
"AMAZONAS",2012,1,6
"AMAZONAS",2012,2,8
"AMAZONAS",2012,3,18
"AMAZONAS",2012,4,11
"AMAZONAS",2012,5,19
"AMAZONAS",2012,6,12
"AMAZONAS",2012,7,14
"AMAZONAS",2012,8,23
"AMAZONAS",2012,9,9
"AMAZONAS",2012,10,15
"AMAZONAS",2012,11,17
"AMAZONAS",2012,12,11
"AMAZONAS",2012,13,5
"AMAZONAS",2012,14,10
"AMAZONAS",2012,15,9
"AMAZONAS",2012,16,10
"AMAZONAS",2012,17,9
"AMAZONAS",2012,18,13
"AMAZONAS",2012,19,15
"AMAZONAS",2012,20,22
"AMAZONAS",2012,21,19
"AMAZONAS",2012,22,25
"AMAZONAS",2012,23,42
"AMAZONAS",2012,24,41
"AMAZONAS",2012,25,26
"AMAZONAS",2012,26,20
"AMAZONAS",2012,27,17
"AMAZONAS",2012,28,11
"AMAZONAS",2012,29,11
"AMAZONAS",2012,30,4
"AMAZONAS",2012,31,5
"AMAZONAS",2012,32,4
"AMAZONAS",2012,33,2
"AMAZONAS",2012,34,1
"AMAZONAS",2012,36,4
"AMAZONAS",2012,37,1
"AMAZONAS",2012,38,1
"AMAZONAS",2012,39,1
"AMAZONAS",2012,40,2
"AMAZONAS",2012,41,8
"AMAZONAS",2012,42,2
"AMAZONAS",2012,43,1
"AMAZONAS",2012,44,2
"AMAZONAS",2012,45,2
"AMAZONAS",2012,46,4
"AMAZONAS",2012,47,10
"AMAZONAS",2012,48,12
"AMAZONAS",2012,49,10
"AMAZONAS",2012,50,11
"AMAZONAS",2012,51,11
"AMAZONAS",2012,52,21
"AMAZONAS",2013,1,3
"AMAZONAS",2013,2,12
"AMAZONAS",2013,3,12
"AMAZONAS",2013,4,7
"AMAZONAS",2013,5,9
"AMAZONAS",2013,6,13
"AMAZONAS",2013,7,11
"AMAZONAS",2013,8,16
"AMAZONAS",2013,9,16
"AMAZONAS",2013,10,15
"AMAZONAS",2013,11,3
"AMAZONAS",2013,12,10
"AMAZONAS",2013,13,6
"AMAZONAS",2013,14,5
"AMAZONAS",2013,15,5
"AMAZONAS",2013,16,7
"AMAZONAS",2013,17,7
"AMAZONAS",2013,18,10
"AMAZONAS",2013,19,9
"AMAZONAS",2013,20,8
"AMAZONAS",2013,21,2
"AMAZONAS",2013,22,4
"AMAZONAS",2013,23,1
"AMAZONAS",2013,24,5
"AMAZONAS",2013,25,4
"AMAZONAS",2013,26,5
"AMAZONAS",2013,27,9
"AMAZONAS",2013,28,8
"AMAZONAS",2013,29,11
"AMAZONAS",2013,31,4
"AMAZONAS",2013,32,1
"AMAZONAS",2013,35,1
"AMAZONAS",2013,37,1
"AMAZONAS",2013,41,1
"AMAZONAS",2013,46,1
"AMAZONAS",2013,47,1
"AMAZONAS",2013,50,2
"AMAZONAS",2013,51,1
"AMAZONAS",2013,52,1
"AMAZONAS",2014,1,4
"AMAZONAS",2014,3,1
"AMAZONAS",2014,4,1
"AMAZONAS",2014,5,1
"AMAZONAS",2014,6,1
"AMAZONAS",2014,7,5
"AMAZONAS",2014,8,3
"AMAZONAS",2014,9,2
"AMAZONAS",2014,10,2
"AMAZONAS",2014,11,5
"AMAZONAS",2014,12,8
"AMAZONAS",2014,13,8
"AMAZONAS",2014,14,4
"AMAZONAS",2014,15,3
"AMAZONAS",2014,16,7
"AMAZONAS",2014,17,3
"AMAZONAS",2014,18,3
"AMAZONAS",2014,19,4
"AMAZONAS",2014,20,7
"AMAZONAS",2014,21,5
"AMAZONAS",2014,22,8
"AMAZONAS",2014,23,4
"AMAZONAS",2014,24,2
"AMAZONAS",2014,25,3
"AMAZONAS",2014,26,3
"AMAZONAS",2014,27,1
"AMAZONAS",2014,28,7
"AMAZONAS",2014,29,5
"AMAZONAS",2014,30,4
"AMAZONAS",2014,31,5
"AMAZONAS",2014,32,10
"AMAZONAS",2014,33,7
"AMAZONAS",2014,34,6
"AMAZONAS",2014,35,5
"AMAZONAS",2014,36,3
"AMAZONAS",2014,37,7
"AMAZONAS",2014,38,1
"AMAZONAS",2014,39,4
"AMAZONAS",2014,40,2
"AMAZONAS",2014,41,1
"AMAZONAS",2014,42,5
"AMAZONAS",2014,43,4
"AMAZONAS",2014,44,5
"AMAZONAS",2014,45,3
"AMAZONAS",2014,46,3
"AMAZONAS",2014,47,3
"AMAZONAS",2014,48,3
"AMAZONAS",2014,49,7
"AMAZONAS",2014,50,6
"AMAZONAS",2014,51,2
"AMAZONAS",2014,52,1
"AMAZONAS",2015,6,1
"AMAZONAS",2015,7,1
"AMAZONAS",2015,9,1
"AMAZONAS",2015,10,2
"AMAZONAS",2015,14,1
"AMAZONAS",2015,21,4
"AMAZONAS",2015,27,1
"AMAZONAS",2015,28,1
"AMAZONAS",2015,30,1
"AMAZONAS",2015,34,2
"AMAZONAS",2015,35,1
"AMAZONAS",2015,36,1
"AMAZONAS",2015,37,1
"AMAZONAS",2015,38,1
"AMAZONAS",2015,41,3
"AMAZONAS",2015,43,1
"AMAZONAS",2015,44,1
"AMAZONAS",2015,45,1
"AMAZONAS",2015,46,2
"AMAZONAS",2015,48,2
"AMAZONAS",2015,49,1
"AMAZONAS",2015,51,6
"AMAZONAS",2015,52,1
"AMAZONAS",2016,1,1
"AMAZONAS",2016,2,4
"AMAZONAS",2016,3,2
"AMAZONAS",2016,4,2
"AMAZONAS",2016,5,4
"AMAZONAS",2016,6,2
"AMAZONAS",2016,7,4
"AMAZONAS",2016,8,4
"AMAZONAS",2016,9,3
"AMAZONAS",2016,10,4
"AMAZONAS",2016,11,1
"AMAZONAS",2016,12,2
"AMAZONAS",2016,13,3
"AMAZONAS",2016,14,5
"AMAZONAS",2016,15,4
"AMAZONAS",2016,16,7
"AMAZONAS",2016,17,4
"AMAZONAS",2016,18,5
"AMAZONAS",2016,19,4
"AMAZONAS",2016,20,3
"AMAZONAS",2016,21,3
"AMAZONAS",2016,22,4
"AMAZONAS",2016,23,2
"AMAZONAS",2016,25,2
"AMAZONAS",2016,29,1
"AMAZONAS",2016,31,1
"AMAZONAS",2016,33,3
"AMAZONAS",2016,35,1
"AMAZONAS",2016,38,1
"AMAZONAS",2016,42,4
"AMAZONAS",2017,7,1
"AMAZONAS",2017,18,1
"AMAZONAS",2017,20,1
"AMAZONAS",2017,21,1
"AMAZONAS",2017,22,2
"AMAZONAS",2017,23,1
"AMAZONAS",2017,24,2
"AMAZONAS",2017,25,1
"AMAZONAS",2017,26,1
"AMAZONAS",2017,27,3
"AMAZONAS",2017,29,1
"AMAZONAS",2017,31,1
"AMAZONAS",2017,32,1
"AMAZONAS",2017,34,2
"AMAZONAS",2017,38,1
"AMAZONAS",2017,40,2
"AMAZONAS",2017,41,4
"AMAZONAS",2017,42,7
"AMAZONAS",2017,43,5
"AMAZONAS",2017,44,14
"AMAZONAS",2017,45,7
"AMAZONAS",2017,46,5
"AMAZONAS",2017,47,5
"AMAZONAS",2017,48,4
"AMAZONAS",2017,49,5
"AMAZONAS",2017,50,4
"AMAZONAS",2017,51,4
"AMAZONAS",2017,52,7
"AMAZONAS",2018,1,7
"AMAZONAS",2018,2,9
"AMAZONAS",2018,3,12
"AMAZONAS",2018,4,12
"AMAZONAS",2018,5,4
"AMAZONAS",2018,6,6
"AMAZONAS",2018,7,3
"AMAZONAS",2018,8,7
"AMAZONAS",2018,9,3
"AMAZONAS",2018,10,6
"AMAZONAS",2018,11,2
"AMAZONAS",2018,12,5
"AMAZONAS",2018,13,1
"AMAZONAS",2018,14,2
"AMAZONAS",2018,15,3
"AMAZONAS",2018,16,7
"AMAZONAS",2018,17,4
"AMAZONAS",2018,19,2
"AMAZONAS",2018,20,1
"AMAZONAS",2018,22,4
"AMAZONAS",2018,23,1
"AMAZONAS",2018,26,1
"AMAZONAS",2018,27,1
"AMAZONAS",2018,28,1
"AMAZONAS",2018,34,1
"AMAZONAS",2018,37,1
"AMAZONAS",2018,40,1
"AMAZONAS",2018,46,1
"AMAZONAS",2018,49,1
"AMAZONAS",2019,2,1
"AMAZONAS",2019,4,1
"AMAZONAS",2019,7,1
"AMAZONAS",2019,9,1
"AMAZONAS",2019,12,1
"AMAZONAS",2019,13,2
"AMAZONAS",2019,14,1
"AMAZONAS",2019,15,1
"AMAZONAS",2019,16,4
"AMAZONAS",2019,17,2
"AMAZONAS",2019,18,2
"AMAZONAS",2019,19,1
"AMAZONAS",2019,20,1
"AMAZONAS",2019,21,1
"AMAZONAS",2019,22,4
"AMAZONAS",2019,23,3
"AMAZONAS",2019,24,4
"AMAZONAS",2019,25,6
"AMAZONAS",2019,26,9
"AMAZONAS",2019,27,6
"AMAZONAS",2019,28,5
"AMAZONAS",2019,29,9
"AMAZONAS",2019,30,2
"AMAZONAS",2019,31,3
"AMAZONAS",2019,32,5
"AMAZONAS",2019,33,6
"AMAZONAS",2019,34,7
"AMAZONAS",2019,35,3
"AMAZONAS",2019,36,2
"AMAZONAS",2019,37,2
"AMAZONAS",2019,38,3
"AMAZONAS",2019,39,7
"AMAZONAS",2019,40,2
"AMAZONAS",2019,41,1
"AMAZONAS",2019,42,8
"AMAZONAS",2019,43,3
"AMAZONAS",2019,44,5
"AMAZONAS",2019,45,11
"AMAZONAS",2019,46,11
"AMAZONAS",2019,47,4
"AMAZONAS",2019,48,3
"AMAZONAS",2019,49,3
"AMAZONAS",2019,50,4
"AMAZONAS",2019,51,3
"AMAZONAS",2020,1,1
"AMAZONAS",2020,2,6
"AMAZONAS",2020,3,11
"AMAZONAS",2020,4,8
"AMAZONAS",2020,5,16
"AMAZONAS",2020,6,11
"AMAZONAS",2020,7,15
"AMAZONAS",2020,8,13
"AMAZONAS",2020,9,23
"AMAZONAS",2020,10,12
"AMAZONAS",2020,11,22
"AMAZONAS",2020,12,15
"AMAZONAS",2020,13,9
"AMAZONAS",2020,14,15
"AMAZONAS",2020,15,19
"AMAZONAS",2020,16,23
"AMAZONAS",2020,17,15
"AMAZONAS",2020,18,12
"AMAZONAS",2020,19,10
"AMAZONAS",2020,20,11
"AMAZONAS",2020,21,8
"AMAZONAS",2020,22,10
"AMAZONAS",2020,23,13
"AMAZONAS",2020,24,25
"AMAZONAS",2020,25,15
"AMAZONAS",2020,26,9
"AMAZONAS",2020,27,14
"AMAZONAS",2020,28,3
"AMAZONAS",2020,29,3
"AMAZONAS",2020,30,6
"AMAZONAS",2020,31,4
"AMAZONAS",2020,32,4
"AMAZONAS",2020,33,2
"AMAZONAS",2020,34,2
"AMAZONAS",2020,35,3
"AMAZONAS",2020,36,4
"AMAZONAS",2020,37,6
"AMAZONAS",2020,38,20
"AMAZONAS",2020,39,21
"AMAZONAS",2020,40,30
"AMAZONAS",2020,41,44
"AMAZONAS",2020,42,25
"AMAZONAS",2020,43,27
"AMAZONAS",2020,44,24
"AMAZONAS",2020,45,16
"AMAZONAS",2020,46,22
"AMAZONAS",2020,47,30
"AMAZONAS",2020,48,24
"AMAZONAS",2020,49,25
"AMAZONAS",2020,50,40
"AMAZONAS",2020,51,39
"AMAZONAS",2020,52,37
"AMAZONAS",2020,53,51
"AMAZONAS",2021,1,77
"AMAZONAS",2021,2,68
"AMAZONAS",2021,3,57
"AMAZONAS",2021,4,62
"AMAZONAS",2021,5,60
"AMAZONAS",2021,6,48
"AMAZONAS",2021,7,42
"AMAZONAS",2021,8,38
"AMAZONAS",2021,9,33
"AMAZONAS",2021,10,33
"AMAZONAS",2021,11,28
"AMAZONAS",2021,12,32
"AMAZONAS",2021,13,11
"AMAZONAS",2021,14,8
"AMAZONAS",2021,15,32
"AMAZONAS",2021,16,29
"AMAZONAS",2021,17,38
"AMAZONAS",2021,18,33
"AMAZONAS",2021,19,43
"AMAZONAS",2021,20,42
"AMAZONAS",2021,21,41
"AMAZONAS",2021,22,70
"AMAZONAS",2021,23,60
"AMAZONAS",2021,24,70
"AMAZONAS",2021,25,59
"AMAZONAS",2021,26,60
"AMAZONAS",2021,27,46
"AMAZONAS",2021,28,57
"AMAZONAS",2021,29,47
"AMAZONAS",2021,30,37
"AMAZONAS",2021,31,25
"AMAZONAS",2021,32,20
"AMAZONAS",2021,33,26
"AMAZONAS",2021,34,19
"AMAZONAS",2021,35,37
"AMAZONAS",2021,36,40
