ubigeo,mean
010204,1.583671318969652E-4
010201,0.002142020847773197
010206,1.1957420860250452E-4
010202,3.090835048214477E-5
010205,9.901307825769346E-6
010203,1.4837366948216297E-4
010311,3.46360959940321E-5
010303,2.0396745034519615E-5
010309,1.3345957914739487E-5
010307,5.726579890242053E-4
010308,2.5022398151949184E-5
010301,1.463591271534968E-4
010305,2.307589437789491E-5
010310,9.718394774490803E-5
010302,9.645854395424429E-6
010306,3.054907614398275E-4
010304,3.300654173269252E-5
010312,1.3094088721103144E-5
010106,1.9362199811277155E-5
010103,1.5207265326976632E-5
010110,1.7631843689644783E-5
010113,3.293454504239221E-5
010115,8.939007140107531E-6
010109,9.266535036667616E-5
010112,9.44347144356067E-6
010119,8.414938570677823E-6
010120,1.9062256519772537E-5
010104,1.3574021857280807E-5
010118,1.5199392623282218E-5
010101,0.002680968236283531
010114,1.4816678122351946E-5
010121,4.277067594172575E-6
010108,8.01837215993152E-5
010117,1.1824411983983313E-5
010107,5.848990894071426E-6
010105,4.9485597785642E-6
010102,1.5161885404153069E-5
010116,9.546526507280443E-6
010111,1.6254774356602678E-5
010401,1.914990247893857E-5
010402,2.5845841704010254E-6
010403,3.2614293607148903E-6
010517,1.8501202893836712E-5
010521,5.9537188430940565E-5
010503,9.13907141114191E-6
010514,2.4258532466776848E-5
010519,1.79205265844998E-5
010511,1.8066062623220506E-5
010507,3.531888118416593E-5
010522,1.9013460725467755E-5
010504,3.479421433721619E-5
010513,2.059380059100149E-5
010515,2.661808143192359E-5
010506,7.806220839183E-6
010502,5.544593613175387E-5
010508,2.3082919433120422E-5
010509,1.9745931170882255E-4
010523,1.227488206783459E-4
010512,6.424083444643733E-5
010505,1.2184014134879589E-5
010501,1.3809589649072258E-4
010516,2.821656253034832E-5
010520,1.683131521681226E-5
010510,1.1069725409042434E-5
010518,3.8761067250081606E-5
010602,2.6538374474790328E-5
010608,2.1406329345401216E-5
010605,1.789897351588679E-5
010604,5.2812315894528955E-5
010601,5.222538973018599E-4
010606,6.506566303880421E-5
010611,6.909059663901115E-5
010609,9.66057003726794E-5
010603,1.4427377393980862E-5
010607,8.089117764096916E-5
010612,1.3831354295231022E-5
010610,3.1782416398167894E-5
010703,5.771688526216714E-5
010702,1.436962920396348E-4
010706,8.011547642551299E-5
010704,5.045316233352275E-5
010701,0.0012881084181590647
010707,3.312120812355607E-5
010705,4.196818873499675E-5
020205,3.2648796680272896E-5
020204,2.7036095827539466E-5
020201,9.488171657450492E-5
020202,3.000962566537168E-5
020203,3.5452686382048385E-5
020301,1.0610336126058575E-4
020305,5.233242219780793E-5
020306,3.2742491053724856E-5
020302,5.673219378790148E-5
020303,9.672766203217841E-5
020304,1.0768523622373467E-4
020401,4.293600415086858E-5
020402,5.948751528198025E-5
020502,2.111676428268737E-4
020503,3.914928247061449E-5
020505,3.088030221354737E-5
020506,1.6481609145628398E-4
020507,2.3610516977313895E-4
020511,2.167130711064787E-5
020512,7.4956884984141115E-6
020513,1.725374418377708E-5
020514,6.546407990323325E-5
020515,2.886845252992219E-5
020504,6.219203832422871E-5
020508,1.1251284127577702E-4
020509,6.394354482183314E-5
020510,1.6129872631863654E-5
020501,4.635133350112869E-4
020608,5.2292195864778044E-5
020609,1.3672281561413622E-4
020610,4.347847692416704E-4
020611,2.8014241730252656E-4
020601,0.001701197394579473
020602,3.337456400964891E-4
020603,1.5631585976492405E-4
020604,1.868423845726583E-4
020605,9.286502537906667E-5
020606,2.055734352131941E-4
020607,2.655815611700535E-4
020701,2.9457978343661723E-4
020702,2.1605778396069197E-5
020703,4.32285743884917E-5
020801,0.0018972553324509314
020802,4.679443979975383E-5
020803,4.296731380312919E-5
020804,2.2418892258706813E-4
020901,8.163604678772237E-5
020902,1.5817054200170235E-5
020903,1.3211289015500137E-5
020904,1.2348611830416737E-5
020905,6.67289382233568E-5
020906,2.9386663698990995E-5
020907,8.250888269986369E-5
020105,0.0035380254285059197
020103,8.363599066266878E-5
020101,0.007008108872020345
020102,3.952456229978633E-5
020104,2.326060378828344E-5
020106,4.907517995196245E-4
020107,1.0971316314003135E-5
020108,3.390294670314707E-5
020109,2.040507579110895E-5
020110,5.597116980999328E-4
020111,3.508349116430636E-5
020112,4.031123342881204E-4
021001,3.461073110304861E-4
021002,3.1654797864232154E-5
021003,3.484438973081307E-5
021004,7.16902699220959E-5
021005,4.0917365151514184E-5
021006,5.1740263967345624E-5
021007,4.2370323141197986E-5
021008,1.0995793909316681E-4
021009,7.367167179027341E-5
021010,8.6049534324632E-5
021011,1.0704760081659227E-4
021012,1.599741096261096E-4
021013,1.9185135432605916E-5
021014,3.755063492990554E-4
021015,2.8817801930929656E-5
021016,6.428108199910961E-5
021101,5.937890205405188E-4
021102,1.055237712662567E-5
021103,5.7890838996998E-5
021104,3.770072299769836E-5
021105,7.170575454347094E-6
021206,7.297442545634552E-5
021202,3.102628113557449E-5
021203,1.3978812887333535E-4
021204,1.635962182590436E-4
021205,6.978526401685277E-5
021208,5.8512222015888704E-5
021209,5.942096212080153E-5
021210,9.915679889625496E-6
021201,0.0020529450217076427
021207,1.5852169319268151E-4
021301,2.3494782647291273E-4
021302,8.606182144254906E-5
021303,1.7299370380834426E-5
021304,1.335337936229572E-5
021305,3.082980557077091E-5
021306,7.615483826105664E-5
021307,5.574773627653439E-5
021308,4.291468683290434E-5
021409,2.2057191873168164E-5
021410,6.321352501497574E-6
021401,9.87915532024722E-6
021402,3.7413968452462324E-5
021403,2.153657299446916E-5
021404,2.372439884045471E-5
021406,1.8500390300733575E-5
021407,1.637998425160209E-4
021408,6.334837881698359E-5
021405,2.2205108425256222E-5
021508,9.455971278006272E-5
021509,4.0579534275362815E-5
021510,3.146862423652127E-5
021511,1.3345803526501263E-4
021501,1.3165224438668751E-4
021502,4.351661954473892E-5
021503,6.640299970267369E-5
021504,3.815047262022496E-5
021505,4.416784716768064E-5
021506,3.289767756313341E-5
021507,4.414127205031684E-5
021601,2.6407214789323505E-4
021602,5.032551643211323E-5
021603,3.222796971009808E-5
021604,2.4038581434486182E-5
021702,5.635693895838162E-5
021703,1.3904247661415992E-5
021704,2.3113717349557685E-5
021705,7.160613628012819E-5
021706,1.5441285154408478E-5
021707,3.575381495869423E-5
021708,1.0959582208366173E-5
021709,1.3307636177237153E-5
021701,1.9766820870563542E-4
021710,1.144560060201525E-4
021809,0.0046029960432973785
021801,0.006542999652717068
021802,3.943268411934494E-5
021804,1.8488471397877686E-5
021808,0.0026061591249048797
021803,0.003407762842376718
021805,3.101116292358393E-4
021806,6.645129147117896E-4
021807,2.4052840355130622E-4
021901,0.0010725866835941667
021902,2.4174446716611523E-5
021903,1.3330520986341366E-5
021904,9.928847108343569E-5
021905,7.678505269778586E-6
021906,3.639401571321132E-5
021907,6.903860203412775E-5
021908,1.8891228610648426E-5
021909,4.5825628658003275E-5
021910,3.723516433924192E-5
022001,0.001276670996466007
022002,2.621491731869603E-5
022003,3.163929577279431E-4
022004,9.657409455588657E-5
022005,1.6225412124486066E-4
022006,2.75918939199049E-4
022007,8.546284181945249E-5
022008,6.050599802153436E-5
030108,1.4276828924743407E-4
030104,4.339090248504955E-4
030105,2.4201437468470416E-5
030109,0.0024573286088475387
030101,0.0038561711863059752
030102,7.948911239189852E-6
030107,2.780692895565509E-5
030106,1.903869626243095E-5
030103,5.136811133557999E-6
030216,0.0013854184453077792
030208,2.6851356785568044E-5
030209,1.3359882586429174E-4
030215,1.537446552317514E-4
030202,4.407736409905496E-5
030219,3.0494032068652587E-5
030214,4.851139755842224E-5
030206,2.0798821281827288E-5
030210,1.7514676990281707E-5
030211,2.3675669251808678E-5
030217,9.301253446794777E-6
030203,9.032243513034326E-6
030218,7.005032671005585E-5
030205,8.268235961303127E-5
030212,2.51035974393241E-5
030207,5.4551156510328264E-5
030213,0.0021415907757001253
030204,1.3876899231096855E-4
030201,0.0026555249870739406
030220,1.1776733486500232E-4
030304,8.106641454309438E-6
030301,3.906500096301084E-5
