ADM1_PCODE,sum
BR12,972441.1084188204
BR27,3469329.2827418405
BR16,949194.7767191516
BR13,4378215.617391817
BR29,1.5276111543630337E7
BR23,9667802.537386041
BR53,3218360.8701912616
BR32,4002270.528784955
BR52,7321976.286095846
BR21,7760947.775586799
BR51,3842730.8619987327
BR50,2937465.6007815935
BR31,2.1632150521604743E7
BR15,9673106.70889092
BR25,4145408.801342679
BR41,1.1498581370856808E7
BR26,9841735.781524166
BR22,3438669.490641245
BR33,1.7994594800057933E7
BR24,3667233.7268563095
BR43,1.1310393843932016E7
BR11,1824925.990427367
BR14,633903.0278298163
BR42,7395229.22488019
BR35,4.621604461324034E7
BR28,2410544.3932244466
BR17,1709386.0157008043
