ADM1_PCODE,sum
CO91,136486.61792797467
CO05,7934700.276567998
CO81,460001.2027134639
CO17,1068519.425630778
CO85,910109.2777964383
CO19,1818690.332580793
CO20,1239066.5825664965
CO25,3924942.7135547535
CO95,184333.20697456534
CO41,1468784.3099135512
CO44,1477883.5003129602
CO47,1639512.1491656152
CO50,1250598.1969139827
CO54,1575146.186409153
CO86,543279.6015949822
CO63,701496.2586392737
CO66,1137007.302184848
CO68,2701426.853402772
CO70,1022095.7985452384
CO73,1741936.2849829928
CO76,5621628.411423915
CO99,98863.70609649655
CO27,683424.5345975539
CO15,1482074.9398690448
CO52,2192643.573806221
CO97,102579.07934046435
CO13,3274894.9681575
CO18,660761.6635262684
CO23,2530173.827491518
CO94,116710.4460667983
CO08,3200310.013365326
CO11,1.0252655526897589E7
CO88,96137.38136572692
