ADM1_PCODE,sum
CO91,136486.61792797464
CO05,7934700.276567998
CO81,460001.20271346386
CO17,1068519.425630778
CO85,910109.2777964384
CO19,1818690.3325807932
CO20,1239066.5825664967
CO25,3924942.7135547535
CO95,184333.20697456537
CO41,1468784.3099135512
CO44,1477883.50031296
CO47,1639512.1491656152
CO50,1250598.1969139827
CO54,1575146.1864091528
CO86,543279.6015949821
CO63,701496.2586392737
CO66,1137007.302184848
CO68,2701426.8534027725
CO70,1022095.7985452384
CO73,1741936.284982993
CO76,5621628.411423914
CO99,98863.70609649652
CO27,683424.534597554
CO15,1482074.9398690446
CO52,2192643.5738062207
CO97,102579.07934046438
CO13,3274894.9681575
CO18,660761.6635262686
CO23,2530173.8274915176
CO94,116710.4460667983
CO08,3200310.013365326
CO11,1.0252655526897589E7
CO88,96137.38136572692
