ADM1_PCODE,sum
EC01,862129.3145228424
EC02,200925.82504166043
EC04,189612.9676520348
EC06,528506.6064614784
EC05,487480.7034883122
EC07,687541.2088649312
EC08,662013.3826149508
EC20,32720.831021268925
EC09,4340119.598559716
EC10,468510.2986618701
EC11,503738.88716424163
EC12,949814.1920958174
EC13,1594995.378387309
EC14,195241.10532861413
EC15,172020.03503470446
EC22,226242.13162443537
EC16,117988.10190786899
EC17,3230174.3365188153
EC24,403364.4328868931
EC23,485069.1565380097
EC21,253006.99545508897
EC18,586000.2946705648
EC19,111702.34865766681
EC90,39064.89318423657
EC03,247627.20322273363
