ADM1_PCODE,sum
MX01,1470803.09168175
MX02,3876538.0625799564
MX03,1028905.2013844638
MX04,976101.7581585381
MX07,6033492.322646439
MX08,3809494.006999703
MX05,3350934.5870043244
MX06,855946.6448465498
MX09,9152500.657691851
MX10,1917012.1095390653
MX11,6910013.613961566
MX12,4030588.6378497006
MX13,3718708.9526757253
MX14,9489432.6274872
MX17,2172574.265611785
MX18,1457838.3058661744
MX20,4571960.884820703
MX21,6742246.358830782
MX23,1835057.793423892
MX25,3123676.5092749507
MX26,3304231.8889968814
MX27,2839456.4346436546
MX28,3877332.3699670457
MX29,1409290.6473033254
MX30,8904891.47247987
MX32,1786837.8352454214
MX15,1.851754980149E7
MX31,2302508.800130734
MX19,1.0224691525015818E7
MX24,2989753.1814831123
MX16,5300973.815145683
MX22,2450645.277432063
