ADM1_PCODE,sum
PE01,437430.9753980485
PE02,1193278.486263144
PE03,437036.73984524724
PE04,1586825.9386053544
PE05,808077.4904229462
PE06,1572673.9853366707
PE07,951061.1428525795
PE08,1407761.1840998183
PE09,590064.2718682315
PE10,920233.5468348922
PE11,903914.838082361
PE12,1612124.2730472162
PE13,2108558.0194314844
PE14,1341766.5661099227
PE15,1.1536513002894392E7
PE16,1176989.7503923646
PE17,184610.1476511365
PE18,202098.363048586
PE19,371859.7421460354
PE20,2033619.667537421
PE21,1599982.808296579
PE22,1037433.4113282226
PE23,388071.2774634713
PE24,255728.23752641174
PE25,625524.8343707559
